Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/blockchain/all-records/,189,10,234000.0,201571.41101449748,62.360727999475785,257024.71596399846,382631.6931216931,0.10498736254699541,0.0055548869072484346,234000,245000,247000,249000,252000,254000,256000,256000,257000,257000,257000
POST,/blockchain/append-data,1,0,397.32103700225707,397.32103700225707,397.32103700225707,397.32103700225707,87.0,0.0005554886907248435,0.0,400,400,400,400,400,400,400,400,400,400,400
DELETE,/blockchain/delete-record?key=H1AUMH0D9M76R7NNG&key_field=vin,1,0,399.98835799633525,399.98835799633525,399.98835799633525,399.98835799633525,87.0,0.0005554886907248435,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/blockchain/latest-record?key=82HFE9767U326DEZ2&key_field=vin,206,8,233000.0,204430.79211287858,39.02614400431048,262810.83924799896,393.40776699029124,0.11443067028931775,0.004443909525798748,234000,244000,247000,248000,249000,253000,255000,257000,263000,263000,263000
GET,/blockchain/record-history?key=82HFE9767U326DEZ2&key_field=vin,218,8,235000.0,208428.32809223406,162.2632340004202,258793.81598500186,891.2201834862385,0.12109653457801586,0.004443909525798748,236000,246000,248000,249000,252000,254000,255000,256000,259000,259000,259000
DELETE,/db/delete/?key=H1AUMH0D9M76R7NNG,1,0,163.8543990047765,163.8543990047765,163.8543990047765,163.8543990047765,41.0,0.0005554886907248435,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/db/retrieve/all/,9480,323,600.0,3122.014495047428,3.6454080036492087,20128.657239998574,301637.1823839662,5.266032788071516,0.17942284710412443,600,800,5400,9100,11000,13000,14000,15000,17000,20000,20000
GET,/db/retrieve/specific/?key=H1AUMH0D9M76R7NNG,9301,328,830.0,3170.1764671576097,5.0901560025522485,20569.010938997963,10.647457262659929,5.166600312431768,0.18220029055774864,830,1100,1600,8900,11000,13000,14000,15000,17000,21000,21000
PUT,/db/update/?key=82HFE9767U326DEZ2,2,0,85.33516599709401,239.3640764967131,85.33516599709401,393.3929869963322,41.0,0.001110977381449687,0.0,390,390,390,390,390,390,390,390,390,390,390
,Aggregated,19399,677,730.0,9522.710655555975,3.6454080036492087,262810.83924799896,151152.76746224033,10.775925111371238,0.376065843620719,730,1000,7900,9700,12000,14000,221000,245000,255000,259000,263000
